CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,EstimatedSalary,,,,,,
15754849,Tyler,776,Germany,Female,32,4,€126517.46,,,,,,
15602280,Martin,829,Germany,Female,27,9,€119708.21,,,,,,
15771573,Okagbue,637,Germany,Female,39,9,€117622.8,,,,,,
15766205,Yin,550,Germany,Male,38,2,€90878.13,,,,,,
15771873,Buccho,776,Germany,Female,37,2,€194099.12,,,,,,
15616550,Chidiebele,698,Germany,Male,44,10,€198059.16,,,,,,
15768193,Trevisani,585,Germany,Male,36,5,€86424.57,,,,,,
15683553,O'Brien,788,FRA,Female,33,5,€116978.19,,,,,,
15702298,Parkhill,655,Germany,Male,41,8,€164040.94,,,,,,
15569590,Yoo,601,Germany,Male,42,1,€40014.76,,,,,,
15760861,Phillipps,619,French,Male,43,1,€113410.49,,,,,,
15630053,Tsao,656,France,Male,45,5,€87107.57,,,,,,
15647091,Endrizzi,725,Germany,Male,19,0,€45613.75,,,,,,
15623944,T'ien,511,Spain,Female,66,4,€1643.11,,,,,,
15804771,Velazquez,614,FRA,Male,51,4,€46775.28,,,,,,
15651280,Hunter,742,Germany,Male,35,5,€84509.57,,,,,,
15773469,Clark,687,Germany,Female,27,9,€126494.82,,,,,,
15702014,Jeffrey,555,Spain,Male,33,1,€178798.13,,,,,,
15751208,Pirozzi,684,Spain,Male,56,8,€99398.36,,,,,,
15592461,Jackson,603,Germany,Male,26,4,€92840.67,,,,,,
15789484,Hammond,751,Germany,Female,36,6,€27758.36,,,,,,
15696061,Brownless,581,Germany,Female,34,1,€110431.51,,,,,,
15641582,Chibugo,735,Germany,Male,43,10,€196673.28,,,,,,
15638424,Glauert,661,Germany,Female,35,5,€113656.85,,,,,,
15755648,Pisano,675,FRA,Female,21,8,€18203.0,,,,,,
15703793,Konovalova,738,Germany,Male,58,2,€28373.86,,,,,,
15620344,McKee,813,France,Male,29,6,€33953.87,,,,,,
15812518,Palermo,657,Spain,Female,37,0,€44203.55,,,,,,
15779052,Ballard,604,Germany,Female,25,5,€58426.81,,,,,,
15770811,Wallace,519,FRA,Male,36,9,€145562.4,,,,,,
15780961,Cavenagh,735,France,Female,21,1,€22388.0,,,,,,
15614049,Hu,664,FRA,Male,55,8,€139161.64,,,,,,
15662085,Read,678,FRA,Female,32,9,€148210.64,,,,,,
15575185,Bushell,757,Spain,Male,33,5,€194239.63,,,,,,
15803136,Postle,416,Germany,Female,41,10,€98301.61,,,,,,
15706021,Buley,665,France,Female,34,1,€171413.66,,,,,,
15663706,Leonard,777,France,Female,32,2,€136458.19,,,,,,
15641732,Mills,543,France,Female,36,3,€26019.59,,,,,,
15701164,Onyeorulu,506,FRA,Female,34,4,€159235.29,,,,,,
15738751,Beit,493,France,Female,46,4,€1907.66,,,,,,
15805254,Ndukaku,652,Spain,Female,75,10,€114675.75,,,,,,
15762418,Gant,750,Spain,Male,22,3,€128643.35,,,,,,
15625759,Rowley,729,France,Male,30,9,€151869.35,,,,,,
15622897,Sharpe,646,French,Female,46,4,€93251.42,,,,,,
15767954,Osborne,635,Germany,Female,28,3,€156791.36,,,,,,
15757535,Heap,647,Spain,Female,44,5,€174205.22,,,,,,
15731511,Ritchie,808,France,Male,45,7,€147132.46,,,,,,
15809248,Cole,524,FRA,Female,36,10,€109614.57,,,,,,
15640635,Capon,769,FRA,Male,29,8,€172290.61,,,,,,
15676966,Capon,730,Spain,Male,42,4,€85982.47,,,,,,
15699461,Fiorentini,515,Spain,Male,35,10,€121277.78,,,,,,
15738721,Graham,773,Spain,Male,41,9,€64595.25,,,,,,
15693683,Yuille,814,Germany,Male,29,8,€197276.13,,,,,,
15604348,Allard,710,Spain,Male,22,8,€99645.04,,,,,,
15633059,Fanucci,413,France,Male,34,9,€6534.18,,,,,,
15808582,Fu,665,FRA,Female,40,6,€161848.03,,,,,,
15743192,Hung,623,French,Female,44,6,€167162.43,,,,,,
15580146,Hung,738,France,Male,31,9,€41970.72,,,,,,
15776605,Bradley,528,Spain,Male,36,7,€60536.56,,,,,,
15804919,Dunbabin,670,Spain,Female,65,1,€177655.68,,,,,,
15613854,Mauldon,622,Spain,Female,46,4,€30984.59,,,,,,
15599195,Stiger,582,Germany,Male,32,1,€10054.53,,,,,,
15812878,Parsons,785,Germany,Female,36,2,€36976.52,,,,,,
15602312,Walkom,605,Spain,Male,33,5,€71862.79,,,,,,
15744689,T'ang,479,Germany,Male,35,9,€99449.86,,,,,,
15803526,Eremenko,685,Germany,Male,30,3,€63082.88,,,,,,
15665790,Rowntree,538,Germany,Male,39,7,€27231.26,,,,,,
15715951,Thorpe,562,France,Male,42,2,€86797.41,,,,,,
15591100,Chiemela,675,Spain,Male,36,9,€22994.32,,,,,,
15609618,Fanucci,721,Germany,Male,28,9,€101300.94,,,,,,
15675522,Ko,628,Germany,Female,30,9,€74169.13,,,,,,
15705512,Welch,668,Germany,Female,37,6,€115638.29,,,,,,
15698028,Duncan,506,France,Female,41,1,€31766.3,,,,,,
15661670,Chidozie,524,Germany,Female,31,8,€199725.39,,,,,,
15600781,Wu,699,Germany,Male,34,4,€120834.48,,,,,,
15682472,Culbreth,828,French,Male,34,8,€38131.77,,,,,,
15580203,,674,Spain,Male,,6,-€999999,,,,,,
15690673,Cameron,656,French,Female,39,6,€141069.88,,,,,,
15760085,Calabresi,684,Germany,Female,48,10,€198129.36,,,,,,
15779659,Zetticci,625,FRA,Female,28,3,€183646.41,,,,,,
15627360,Fuller,432,France,Male,42,9,€110265.24,,,,,,
15671137,MacDonald,549,France,Female,52,1,€8636.05,,,,,,
15782688,Piccio,625,Germany,Male,56,0,€46824.08,,,,,,
15575492,Kennedy,828,FRA,Female,41,7,€171378.77,,,,,,
15591607,Fernie,770,FRA,Male,24,9,€167256.35,,,,,,
15740404,He,758,FRA,Female,34,3,€124226.16,,,,,,
15718369,Kaodilinakachukwu,795,Germany,Female,33,9,€114935.21,,,,,,
15677871,Cocci,687,France,Male,38,9,€35608.88,,,,,,
15642004,Alekseeva,686,French,Male,25,1,€16459.37,,,,,,
15712543,Chinweike,789,Germany,Male,39,7,€124411.08,,,,,,
15584518,Arthur,589,Germany,Female,50,5,€34941.23,,,,,,
15802381,Li,461,Germany,Female,34,5,€167784.28,,,,,,
15610156,Ma,637,FRA,Male,40,2,€93165.34,,,,,,
15594408,Chia,584,Spain,Female,48,2,€75161.25,,,,,,
15640905,Vasin,579,Spain,Female,35,1,€8590.83,,,,,,
15698932,Groves,756,Germany,Male,44,10,€189543.9,,,,,,
15724944,Tien,663,France,Male,34,7,€180427.24,,,,,,
15628145,Forwood,682,FRA,Female,43,5,€193318.33,,,,,,
15713483,Greeves,793,Spain,Male,52,2,€159123.82,,,,,,
15612350,Taylor,691,FRA,Female,31,5,€126213.84,,,,,,
15800703,Madukwe,485,Spain,Female,21,5,€54141.5,,,,,,
15705707,Bennelong,635,Spain,Female,29,8,€141075.51,,,,,,
15754105,Olisanugo,650,French,Male,37,5,€24495.03,,,,,,
15703264,Chukwufumnanya,735,France,Male,44,9,€74836.34,,,,,,
15794413,Harris,416,France,Male,32,0,€878.87,,,,,,
15650237,Morgan,754,Spain,Female,32,7,€89520.75,,,,,,
15759618,Alexeeva,535,French,Female,48,9,€149892.79,,,,,,
15811589,Metcalfe,716,Spain,Male,42,8,€180800.42,,,,,,
15689044,Humphries,539,France,Male,37,2,€98646.22,,,,,,
15709368,Milne,614,French,Female,43,6,€109041.53,,,,,,
15679145,Chou,706,Spain,Male,57,7,€17941.16,,,,,,
15655007,Li,758,French,Female,33,7,€82996.47,,,,,,
15623595,Clayton,586,Spain,Female,28,2,€92067.35,,,,,,
15589975,Maclean,646,French,Female,73,6,€104719.66,,,,,,
15804017,Chigolum,631,Germany,Female,33,4,€112687.57,,,,,,
15692132,Wilkinson,717,Spain,Female,22,6,€84699.56,,,,,,
15641122,Wei,684,French,Male,30,2,€83473.82,,,,,,
15630910,Treacy,800,FRA,Female,49,7,€47125.11,,,,,,
15680772,Hu,721,Spain,Female,36,2,€106977.8,,,,,,
15658929,Taverner,683,Spain,Male,29,0,€55582.54,,,,,,
15585388,Sherman,660,Germany,Male,31,9,€139874.43,,,,,,
15724623,Taubman,704,Germany,Female,24,7,€162503.48,,,,,,
15588537,Robinson,615,Spain,Female,41,9,€196499.96,,,,,,
15574692,Pinto,667,Spain,Female,39,2,€40721.24,,,,,,
15611325,Wood,682,Germany,Male,24,9,€53134.3,,,,,,
15587562,Hawkins,484,French,Female,29,4,€164017.89,,,,,,
15613172,Sun,628,Germany,Male,27,5,€155996.96,,,,,,
15651022,Yost,480,Germany,Male,44,10,€5472.7,,,,,,
15586310,Ting,578,French,Male,30,4,€112187.11,,,,,,
15625524,Rowe,512,France,Male,40,5,€146457.83,,,,,,
15755209,Fu,484,Spain,Female,35,7,€27286.1,,,,,,
15645248,Ho,510,French,Female,30,0,€130553.47,,,,,,
15790355,Okechukwu,606,Germany,Male,36,5,€179351.89,,,,,,
15762615,Campbell,597,Spain,Female,40,8,€94774.12,,,,,,
15625426,Ashbolt,754,Germany,Female,55,3,€8080.85,,,,,,
15716334,Rozier,850,Spain,Female,45,2,€19482.5,,,,,,
15789669,Hsia,510,FRA,Male,65,2,€48071.61,,,,,,
15621075,Ogbonnaya,778,Germany,Female,45,1,€174531.27,,,,,,
15810845,T'ang,636,FRA,Male,42,2,€55470.78,,,,,,
15719377,Cocci,804,French,Female,50,4,€8546.87,,,,,,
15654506,Chang,514,France,Male,32,8,€95857.18,,,,,,
15771977,T'ao,730,FRA,Female,39,1,€194945.8,,,,,,
15708710,Ford,525,Spain,Female,37,0,€131521.72,,,,,,
15726676,Marshall,616,Spain,Male,30,5,€196108.51,,,,,,
15587421,Tsai,687,Germany,Female,34,7,€148564.76,,,,,,
15726931,Onwumelu,715,FRA,Female,41,8,€92982.61,,,,,,
15771086,Graham,512,French,Female,36,3,€17675.36,,,,,,
15756850,Golovanov,479,French,Male,40,1,€114996.43,,,,,,
15702741,Potts,601,French,Male,32,8,€86957.42,,,,,,
15679200,Crawford,580,Spain,Male,29,9,€128077.8,,,,,,
15594815,Aleshire,807,France,Male,35,3,€600.36,,,,,,
15635905,Moran,616,Spain,Female,32,6,€43001.46,,,,,,
15777892,Samsonova,721,Germany,Male,37,3,€158591.12,,,,,,
15656176,Jenkins,501,France,Male,57,10,€47847.19,,,,,,
15811127,Volkov,521,FRA,Male,35,6,€10488.44,,,,,,
15604482,Chiemezie,850,Spain,Male,30,2,€5978.2,,,,,,
15622911,Jude,759,FRA,Male,42,4,€121409.06,,,,,,
15600974,He,516,Spain,Male,50,5,€146145.93,,,,,,
15727868,Onuora,711,France,Female,38,2,€14374.86,,,,,,
15627801,Ginikanwa,512,Spain,Male,33,3,€94670.77,,,,,,
15773039,Ku,550,France,Male,37,3,€179670.31,,,,,,
15755262,McDonald,608,Spain,Female,41,3,€199304.74,,,,,,
15679531,Collins,618,France,Male,34,5,€151954.39,,,,,,
15684181,Hackett,643,French,Male,45,5,€142513.5,,,,,,
15612087,Dike,671,France,Male,45,2,€158264.62,,,,,,
15752047,Trevisano,689,Germany,Male,33,2,€169381.9,,,,,,
15624592,Tan,603,French,Male,31,8,€169915.02,,,,,,
15573152,Glassman,620,French,Female,41,9,€88852.47,,,,,,
15594917,Miller,676,French,Female,34,1,€40645.81,,,,,,
15785542,Kornilova,572,Germany,Male,26,4,€60427.3,,,,,,
15723488,Watson,668,Germany,Male,47,7,€157959.02,,,,,,
15680920,Marchesi,695,French,Male,46,7,€133007.34,,,,,,
15786308,Millar,730,Spain,Female,33,9,€176576.62,,,,,,
15659366,Shih,807,FRA,Male,43,1,€34888.04,,,,,,
15774854,Fuller,592,FRA,Male,54,8,€28737.71,,,,,,
15725311,Hay,726,France,Female,31,9,€98178.57,,,,,,
15787155,Yang,514,Spain,Male,30,7,€125010.24,,,,,,
15727829,McIntyre,567,FRA,Male,42,2,€167984.61,,,,,,
15733247,Stevenson,850,France,Male,33,10,€4861.72,,,,,,
15568748,Poole,671,Germany,Male,45,6,€108872.45,,,,,,
15699029,Bagley,670,FRA,Male,37,4,€198252.88,,,,,,
15774393,Ch'ien,694,French,Female,30,9,€26960.31,,,,,,
15676895,Cattaneo,547,Germany,Female,39,6,€85746.52,,,,,,
15637753,O'Sullivan,751,Germany,Male,50,2,€77206.25,,,,,,
15605461,Lucas,594,Germany,Female,29,3,€61048.53,,,,,,
15808473,Ringrose,673,France,Male,72,1,€111981.19,,,,,,
15627000,Freeman,610,FRA,Male,40,0,€62232.6,,,,,,
15787174,Sergeyev,512,French,Female,37,1,€156105.03,,,,,,
15723886,Fiore,767,Germany,Male,20,3,€150135.38,,,,,,
15704769,Smith,585,French,Female,67,5,€93146.11,,,,,,
15772896,Dumetochukwu,763,Germany,Male,42,6,€33462.94,,,,,,
15711540,Pacheco,712,France,Female,29,2,€144375.0,,,,,,
15764866,Synnot,539,Germany,Female,43,3,€55803.96,,,,,,
15794056,Johnston,668,France,Female,46,2,€89048.46,,,,,,
15795149,Stevens,703,FRA,Male,28,2,€162812.16,,,,,,
15812009,Grant,662,Spain,Male,38,4,€136259.65,,,,,,
15651001,Tsao,725,Germany,Female,39,5,€124052.97,,,,,,
15813844,Barnes,703,FRA,Male,37,8,€74158.8,,,,,,
15596175,McIntosh,659,Germany,Male,67,6,€45071.09,,,,,,
15576269,Madison,523,Spain,Male,34,7,€62030.06,,,,,,
15797219,Ifesinachi,635,France,Female,40,10,€131953.23,,,,,,
15685500,Glazkov,772,Germany,Male,26,7,€79414.0,,,,,,
15599792,Dimauro,545,FRA,Female,26,1,€199638.56,,,,,,
15657566,Wieck,634,Germany,Male,24,8,€157577.29,,,,,,
15772423,Liao,739,Germany,Male,54,8,€134420.75,,,,,,
15628112,Hughes,771,Germany,Female,36,5,€99805.99,,,,,,
15753754,Morrison,587,Spain,Female,34,1,€97932.68,,,,,,
15793726,Matveyeva,681,France,Female,79,0,€170968.99,,,,,,
15694717,Ku,544,Germany,Male,37,2,€57558.95,,,,,,
15665834,Cheatham,696,Spain,Male,28,8,€176713.47,,,,,,
15765297,Yao,766,Spain,Male,41,0,€34283.23,,,,,,
15636684,Kirkland,727,FRA,Male,34,10,€198637.34,,,,,,
15592979,Rose,671,Germany,Female,34,6,€156917.12,,,,,,
15750803,Jess,693,FRA,Female,30,6,€50457.2,,,,,,
15607178,Welch,850,Germany,Male,38,3,€140075.55,,,,,,
15713853,Ifeajuna,732,Germany,Male,42,9,€65323.11,,,,,,
15673481,Morton,726,Spain,Female,48,6,€64323.24,,,,,,
15686776,Rossi,557,FRA,Female,32,6,€14956.44,,,,,,
15673693,Reppert,682,France,Female,26,0,€111879.21,,,,,,
15700696,Kang,738,Spain,Male,31,9,€18606.23,,,,,,
15813163,Ch'iu,531,Spain,Female,36,9,€123137.01,,,,,,
15653857,Wallis,498,French,Male,34,2,€148528.24,,,,,,
15777076,Clark,651,France,Male,36,7,€13898.31,,,,,,
15717398,Fielding,549,Spain,Female,39,7,€81259.25,,,,,,
15799217,Zetticci,791,Germany,Female,35,7,€161051.75,,,,,,
15787071,Dulhunty,650,Spain,Male,41,9,€191599.67,,,,,,
15619955,Bevington,733,Germany,Male,34,3,€48559.19,,,,,,
15796505,Boyle,811,Germany,Female,34,1,€186339.74,,,,,,
15725166,Newton,707,French,Male,30,8,€33159.37,,,,,,
15800116,Bowman,712,Germany,Male,28,4,€93883.53,,,,,,
15758685,Dubinina,706,Spain,Female,37,7,€110899.3,,,,,,
15694456,Toscani,756,French,Male,62,3,€11199.04,,,,,,
15767339,Chiazagomekpere,777,French,Female,53,10,€189992.97,,,,,,
15683562,Allen,646,French,Male,35,6,€164255.69,,,,,,
15782210,K'ung,714,French,Male,46,1,€152167.79,,,,,,
15668893,Wilsmore,782,France,Male,39,8,€33949.67,,,,,,
15669169,Hargreaves,775,Spain,Male,29,10,€68143.93,,,,,,
15643024,Huang,479,Germany,Male,35,4,€47251.79,,,,,,
15699389,Ch'ien,807,French,Male,42,7,€25885.72,,,,,,
15708608,Wallwork,799,FRA,Female,22,8,€192633.85,,,,,,
15626144,Chu,675,French,Male,40,7,€34577.36,,,,,,
15573112,Kang,602,Spain,Male,29,5,€161229.84,,,,,,
15790678,Davidson,475,FRA,Female,32,8,€100816.29,,,,,,
15727556,O'Donnell,744,Spain,Female,26,5,€181694.44,,,,,,
15697307,Nnachetam,588,Spain,Male,34,10,€79078.91,,,,,,
15652266,Chidiebele,703,Germany,Male,42,9,€137316.32,,,,,,
15607098,Ahmed,747,Spain,Female,41,5,€194926.86,,,,,,
15655774,Booth,583,French,Male,27,7,€51285.49,,,,,,
15590241,Chuang,750,Spain,Female,34,9,€150401.53,,,,,,
15785819,Shao,681,FRA,Male,38,3,€112491.96,,,,,,
15723654,Tsao,773,French,Male,25,2,€73656.38,,,,,,
15774510,Tien,714,FRA,Female,31,4,€106636.89,,,,,,
15684173,Chang,687,Spain,Female,44,7,€155853.52,,,,,,
15650068,Johnson,511,French,Male,58,0,€162599.51,,,,,,
15811490,French,627,France,Male,33,5,€103737.82,,,,,,
15803976,Efremov,694,FRA,Female,31,10,€160990.27,,,,,,
15682541,Hartley,616,Spain,Female,36,6,€15462.84,,,,,,
15695699,Calabrese,687,FRA,Male,35,8,€10334.05,,,,,,
15624188,Chiu,712,FRA,Female,33,6,€190686.16,,,,,,
15812191,Brennan,553,French,Male,33,4,€94440.45,,,,,,
15636673,Onwuatuegwu,667,France,Male,31,1,€28257.63,,,,,,
15594898,Hewitt,731,French,Male,43,2,€170034.95,,,,,,
15660211,Shih,629,Germany,Male,35,7,€31824.29,,,,,,
15773972,Balashov,614,FRA,Male,50,4,€127166.49,,,,,,
15746726,Doyle,438,Germany,Male,31,8,€44937.01,,,,,,
15712287,Pokrovskii,652,FRA,Female,80,4,€188603.07,,,,,,
15702919,Collins,729,Germany,Male,30,6,€145111.37,,,,,,
15674398,Russo,642,French,Male,38,3,€171463.83,,,,,,
15797960,Skinner,806,Germany,Female,59,0,€182822.5,,,,,,
15631868,Robertson,744,Spain,Male,36,2,€87213.33,,,,,,
15581539,Atkinson,474,Spain,Male,37,3,€57175.32,,,,,,
15662736,Doyle,559,FRA,Male,49,2,€120540.83,,,,,,
15666252,Ritchie,706,Spain,Male,42,9,€28714.34,,,,,,
15677512,McEncroe,628,Spain,Female,22,3,€85426.28,,,,,,
15626114,Pearson,429,France,Male,24,4,€46170.75,,,,,,
15810834,Gordon,525,Spain,Female,57,2,€64448.36,,,,,,
15678910,Ts'ai,680,FRA,Female,30,8,€16278.97,,,,,,
15694408,Lung,749,France,Male,40,1,€182855.42,,,,,,
15585215,Yuan,763,France,Female,31,4,€50404.72,,,,,,
15682757,Pardey,734,FRA,Male,30,3,€107640.25,,,,,,
15736601,Tai,716,FRA,Male,35,4,€134132.65,,,,,,
15601848,Scott,594,FRA,Male,35,2,€103480.69,,,,,,
15736008,Hunter,644,French,Female,46,9,€108761.05,,,,,,
15669064,Mazzanti,671,Germany,Male,35,1,€179012.3,,,,,,
15624528,L?,664,Germany,Male,26,7,€95145.14,,,,,,
15598493,Beach,656,FRA,Male,50,7,€72143.44,,,,,,
15601274,Hsieh,667,Spain,Female,40,1,€19162.89,,,,,,
15702669,Faulkner,663,Germany,Male,44,2,€144680.18,,,,,,
15728669,Knowles,584,Germany,Female,30,8,€177772.03,,,,,,
15742668,Day,626,Spain,Female,37,6,€5597.94,,,,,,
15697441,Hsueh,485,French,Male,29,7,€116828.51,,,,,,
15740476,Tsao,659,Germany,Female,32,3,€174652.51,,,,,,
15648064,Kennedy,649,FRA,Male,33,2,€2010.98,,,,,,
15636624,Nwabugwu,805,Spain,Female,39,5,€14109.85,,,,,,
15807923,Young,716,Germany,Female,39,10,€43527.4,,,,,,
15745844,Kerr,642,Germany,Female,40,6,€86099.23,,,,,,
15786170,Tien,659,FRA,Male,31,4,€161574.19,,,,,,
15681081,Marrero,545,Spain,Female,47,5,€38970.14,,,,,,
15684484,White,543,French,Male,22,8,€127587.22,,,,,,
15785869,Pisano,718,FRA,Female,25,7,€30380.12,,,,,,
15763859,Brown,840,French,Female,43,7,€90908.95,,,,,,
15658935,Freeman,630,Germany,Female,34,9,€138275.01,,,,,,
15747358,Russell,643,Germany,Male,59,3,€32171.79,,,,,,
15735203,Seleznyov,654,Germany,Female,32,1,€126143.23,,,,,,
15576256,Yusupova,582,French,Male,39,5,€129892.93,,,,,,
15659420,Foley,659,Spain,Male,32,3,€102416.84,,,,,,
15593365,Shih,762,Spain,Male,39,2,€18719.67,,,,,,
15777352,Ikedinachukwu,568,Spain,Female,32,7,€61936.22,,,,,,
15812007,Power,670,Spain,Male,25,6,€78358.94,,,,,,
15625461,Amos,613,French,Female,45,1,€147224.27,,,,,,
15739438,Reed,539,FRA,Male,30,0,€160979.66,,,,,,
15611759,Simmons,850,Spain,Female,57,8,€132298.49,,,,,,
15661629,Ricci,522,Spain,Male,34,9,€174248.52,,,,,,
15633950,Yen,737,FRA,Male,41,1,€123547.28,,,,,,
15592386,Campbell,520,France,Male,58,3,€32790.02,,,,,,
15803716,West,706,Spain,Male,28,3,€181543.67,,,,,,
15696674,Robinson,643,Germany,Female,45,2,€2319.96,,,,,,
15706365,Bianchi,648,French,Female,50,9,€189543.19,,,,,,
15745088,Chen,443,Germany,Female,29,9,€10940.4,,,,,,
15676715,Madukaego,640,FRA,Male,68,9,€199493.38,,,,,,
15613085,Ibrahimova,628,Spain,Female,33,3,€188193.25,,,,,,
15633537,Nolan,540,Germany,Female,42,9,€172572.64,,,,,,
15594720,Scott,460,Germany,Female,35,8,€189339.6,,,,,,
15684042,Blair,636,Germany,Male,34,2,€53512.16,,,,,,
15583303,Monaldo,593,FRA,Female,29,2,€34004.44,,,,,,
15611579,Sutherland,801,Spain,Male,42,4,€10598.29,,,,,,
15774696,Cole,640,Germany,Female,75,1,€113428.77,,,,,,
15694506,Briggs,611,Germany,Male,31,0,€183487.98,,,,,,
15688074,Gregory,802,Germany,Male,31,1,€187658.09,,,,,,
15759537,Bianchi,717,Germany,Male,35,7,€172459.39,,,,,,
15758449,Angelo,769,FRA,Female,39,8,€21016.0,,,,,,
15583456,Gardiner,745,Germany,Male,45,10,€122381.02,,,,,,
15667871,Kerr,572,Spain,Male,35,4,€128123.66,,,,,,
15677371,Ko,629,Spain,Female,30,2,€19570.63,,,,,,
15629677,Distefano,687,Spain,Female,39,2,€188150.6,,,,,,
15713578,Farrell,483,France,Female,50,9,€111020.24,,,,,,
15591509,Milano,690,FRA,Male,36,7,€123775.15,,,,,,
15568240,Ting,492,Germany,Female,30,10,€146700.22,,,,,,
15622993,Boyd,709,Germany,Male,28,8,€145251.35,,,,,,
15689294,Onyemaechi,705,Germany,Male,44,3,€82463.69,,,,,,
15720910,Black,560,FRA,Female,66,9,€15928.49,,,,,,
15721181,Oliver,611,Spain,Male,46,6,€45886.33,,,,,,
15776433,Greco,730,Spain,Male,62,2,€186489.95,,,,,,
15748936,Whitehead,709,Spain,Female,45,2,€162922.65,,,,,,
15717225,Ikemefuna,544,France,Female,21,10,€9262.77,,,,,,
15685226,Morrison,712,Germany,Female,29,7,€84932.4,,,,,,
15785611,Onyeoruru,752,Germany,Male,38,3,€71557.12,,,,,,
15573456,Cunningham,648,Spain,Male,46,9,€77405.95,,,,,,
15684548,Demidov,556,Spain,Male,38,8,€417.41,,,,,,
15620505,Celis,594,Spain,Female,24,0,€71405.17,,,,,,
15807432,Cheng,645,Germany,Female,37,2,€153400.24,,,,,,
15584766,Knight,557,France,Male,33,3,€371.05,,,,,,
15612187,Morin,547,Germany,Male,32,8,€67789.99,,,,,,
15762218,Mills,701,FRA,Female,39,9,€145894.9,,,,,,
15646372,Outhwaite,616,France,Female,66,1,€183840.51,,,,,,
15690452,Tung,605,French,Male,52,1,€108887.44,,,,,,
15747795,Pai,593,Germany,Female,38,4,€154071.27,,,,,,
15781589,Carpenter,751,Spain,Male,52,8,€179291.85,,,,,,
15732674,Fennell,443,Spain,Male,36,6,€56937.43,,,,,,
15642291,Fontaine,685,France,Male,23,8,€112239.03,,,,,,
15692761,Pratt,718,French,Male,36,9,€45909.87,,,,,,
15578045,Mitchell,538,Spain,Female,49,9,€173779.25,,,,,,
15745354,Franklin,611,Spain,Female,37,4,€125696.26,,,,,,
15701376,K'ung,668,Germany,Male,37,10,€159585.61,,,,,,
15691625,Ko,537,Germany,Female,41,3,€106761.47,,,,,,
15566594,McKenzie,709,Spain,Male,23,10,€129590.18,,,,,,
15760431,Pino,850,French,Male,38,1,€80006.65,,,,,,
15686302,Fisk,745,Spain,Female,31,3,€140451.52,,,,,,
15801559,Chiang,693,Germany,Female,41,9,€187929.43,,,,,,
